id,bio,mbti,location
1,AI enthusiast and startup lover,INTJ,Delhi
2,Creative designer and artist,ENFP,Mumbai
3,Software engineer and coder,INFJ,Delhi
4,Marketing strategist and communicator,ENTP,Bangalore
5,Data scientist and analyst,INTJ,Delhi
6,Photographer and traveler,ENFP,Mumbai
7,Backend developer and problem solver,INTJ,Bangalore
8,UI UX designer and creator,ENFP,Delhi
9,Business analyst and planner,ENTP,Mumbai
10,Full stack developer and gamer,INFJ,Delhi
11,Finance expert and investor,INTJ,Bangalore
12,Content writer and blogger,ENFP,Mumbai
13,AI researcher and innovator,INTJ,Delhi
14,Digital marketer and SEO expert,ENTP,Bangalore
15,Cybersecurity specialist,INFJ,Delhi
16,Travel vlogger and explorer,ENFP,Mumbai
17,Cloud engineer and DevOps,INTJ,Bangalore
18,Product manager and leader,ENTP,Delhi
19,Game developer and coder,INFJ,Mumbai
20,Startup founder and visionary,ENTP,Bangalore
21,Machine learning engineer,INTJ,Delhi
22,Graphic designer and illustrator,ENFP,Mumbai
23,Database administrator,INTJ,Bangalore
24,HR manager and recruiter,ENFP,Delhi
25,Mobile app developer,INFJ,Mumbai
26,Sales and business development,ENTP,Bangalore
27,Blockchain developer,INTJ,Delhi
28,Video editor and filmmaker,ENFP,Mumbai
29,AI student and learner,INFJ,Delhi
30,Business consultant and advisor,ENTP,Bangalore
31,Tech enthusiast and innovator,INTJ,Delhi
32,Creative storyteller and artist,ENFP,Mumbai
33,Software tester and QA engineer,INFJ,Delhi
34,Marketing executive and strategist,ENTP,Bangalore
35,Data analyst and visualization expert,INTJ,Delhi
36,Photographer and editor,ENFP,Mumbai
37,System engineer and developer,INTJ,Bangalore
38,UI designer and illustrator,ENFP,Delhi
39,Business strategist and thinker,ENTP,Mumbai
40,Frontend developer and coder,INFJ,Delhi
41,AI engineer and innovator,INTJ,Delhi
42,Creative designer and content creator,ENFP,Mumbai
43,Software developer and backend specialist,INFJ,Delhi
44,Marketing manager and strategist,ENTP,Bangalore
45,Data analyst and problem solver,INTJ,Delhi
46,Photographer and visual storyteller,ENFP,Mumbai
47,Cloud architect and DevOps engineer,INTJ,Bangalore
48,UI designer and creative thinker,ENFP,Delhi
49,Business analyst and planner,ENTP,Mumbai
50,Full stack developer and tech enthusiast,INFJ,Delhi
51,Finance analyst and investment advisor,INTJ,Bangalore
52,Content creator and social media influencer,ENFP,Mumbai
53,AI researcher and machine learning expert,INTJ,Delhi
54,Digital marketing specialist,ENTP,Bangalore
55,Cybersecurity analyst and ethical hacker,INFJ,Delhi
56,Travel blogger and explorer,ENFP,Mumbai
57,DevOps engineer and cloud specialist,INTJ,Bangalore
58,Product manager and team leader,ENTP,Delhi
59,Game developer and creative coder,INFJ,Mumbai
60,Startup founder and entrepreneur,ENTP,Bangalore

61,Machine learning engineer and AI enthusiast,INTJ,Delhi
62,Graphic designer and illustrator,ENFP,Mumbai
63,Database engineer and SQL expert,INTJ,Bangalore
64,HR manager and talent recruiter,ENFP,Delhi
65,Mobile app developer and coder,INFJ,Mumbai
66,Sales strategist and business developer,ENTP,Bangalore
67,Blockchain developer and crypto enthusiast,INTJ,Delhi
68,Video editor and filmmaker,ENFP,Mumbai
69,AI student and tech learner,INFJ,Delhi
70,Business consultant and advisor,ENTP,Bangalore

71,Tech enthusiast and innovator,INTJ,Delhi
72,Creative artist and storyteller,ENFP,Mumbai
73,QA engineer and software tester,INFJ,Delhi
74,Marketing executive and strategist,ENTP,Bangalore
75,Data visualization expert and analyst,INTJ,Delhi
76,Photographer and content creator,ENFP,Mumbai
77,System engineer and backend developer,INTJ,Bangalore
78,UI designer and illustrator,ENFP,Delhi
79,Business strategist and planner,ENTP,Mumbai
80,Frontend developer and web designer,INFJ,Delhi

81,AI developer and problem solver,INTJ,Delhi
82,Creative writer and blogger,ENFP,Mumbai
83,Software architect and engineer,INTJ,Bangalore
84,Digital marketing manager,ENTP,Delhi
85,Cybersecurity expert and analyst,INFJ,Mumbai
86,Travel influencer and vlogger,ENFP,Mumbai
87,Cloud computing specialist,INTJ,Bangalore
88,Product designer and innovator,ENFP,Delhi
89,Business analyst and consultant,ENTP,Mumbai
90,App developer and tech enthusiast,INFJ,Delhi
91,Machine learning researcher,INTJ,Delhi
92,Graphic artist and visual creator,ENFP,Mumbai
93,Database specialist and engineer,INTJ,Bangalore
94,HR consultant and recruiter,ENFP,Delhi
95,Mobile developer and coder,INFJ,Mumbai
96,Sales executive and strategist,ENTP,Bangalore
97,Blockchain engineer and developer,INTJ,Delhi
98,Video creator and editor,ENFP,Mumbai
99,AI enthusiast and learner,INFJ,Delhi
100,Business advisor and consultant,ENTP,Bangalore
